score,objective,bagging_fraction,learning_rate,num_iterations,num_leaves,feature_fraction,boosting_type
0.521,binary;,0.5,0.005,500,512,1.0,gbdt
0.521,binary;,1.0,0.005,500,512,1.0,gbdt
0.523,binary;,0.5,0.005,500,512,0.8,gbdt
0.523,binary;,0.8,0.005,500,512,0.8,gbdt
0.523,binary;,1.0,0.005,500,512,0.8,gbdt
0.524,binary;,0.8,0.005,500,1024,1.0,gbdt
0.524,binary;,0.8,0.005,500,512,0.5,gbdt
0.524,binary;,1.0,0.005,500,512,0.5,gbdt
0.524,binary;,0.5,0.005,500,512,0.5,gbdt
0.524,binary;,0.5,0.005,500,1024,1.0,gbdt
0.524,binary;,1.0,0.005,500,1024,1.0,gbdt
0.527,binary;,0.5,0.005,500,2048,1.0,gbdt
0.527,binary;,1.0,0.005,500,2048,1.0,gbdt
0.527,binary;,0.8,0.005,500,2048,1.0,gbdt
0.527,binary;,0.8,0.005,500,1024,0.8,gbdt
0.527,binary;,1.0,0.005,500,1024,0.8,gbdt
0.527,binary;,0.5,0.005,500,1024,0.8,gbdt
0.528,binary;,0.5,0.005,500,1024,0.5,gbdt
0.528,binary;,0.8,0.005,500,1024,0.5,gbdt
0.528,binary;,1.0,0.005,500,1024,0.5,gbdt
0.530,binary;,0.5,0.005,1000,512,1.0,gbdt
0.530,binary;,1.0,0.005,1000,512,1.0,gbdt
0.530,binary;,0.8,0.005,1000,512,1.0,gbdt
0.531,binary;,1.0,0.005,500,2048,0.5,gbdt
0.531,binary;,0.8,0.005,500,2048,0.5,gbdt
0.531,binary;,0.5,0.005,500,2048,0.5,gbdt
0.531,binary;,1.0,0.005,500,2048,0.8,gbdt
0.531,binary;,0.5,0.005,500,2048,0.8,gbdt
0.531,binary;,0.8,0.005,500,2048,0.8,gbdt
0.532,binary;,0.8,0.005,1000,512,0.8,gbdt
0.532,binary;,1.0,0.005,1000,512,0.8,gbdt
0.532,binary;,0.5,0.005,1000,512,0.8,gbdt
0.533,binary;,1.0,0.005,1000,512,0.5,gbdt
0.533,binary;,0.8,0.005,1000,512,0.5,gbdt
0.533,binary;,0.5,0.005,1000,512,0.5,gbdt
0.534,binary;,0.8,0.005,1000,1024,1.0,gbdt
0.534,binary;,0.5,0.005,1000,1024,1.0,gbdt
0.534,binary;,1.0,0.005,1000,1024,1.0,gbdt
0.534,binary;,0.5,0.005,500,512,1.0,gbdt
0.534,binary;,1.0,0.005,500,512,1.0,gbdt
0.534,binary;,0.8,0.005,500,512,1.0,gbdt
0.535,binary;,0.8,0.005,1000,2048,1.0,gbdt
0.535,binary;,0.5,0.005,1000,2048,1.0,gbdt
0.535,binary;,1.0,0.005,1000,2048,1.0,gbdt
0.536,binary;,1.0,0.005,1000,1024,0.8,gbdt
0.536,binary;,0.8,0.005,1000,1024,0.8,gbdt
0.536,binary;,0.5,0.005,1000,1024,0.8,gbdt
0.536,binary;,0.5,0.005,500,1024,1.0,gbdt
0.536,binary;,1.0,0.005,500,1024,1.0,gbdt
0.536,binary;,0.8,0.005,500,1024,1.0,gbdt
0.537,binary;,0.8,0.005,500,2048,1.0,gbdt
0.537,binary;,1.0,0.005,1000,2048,0.8,gbdt
0.537,binary;,0.5,0.005,1000,2048,0.8,gbdt
0.537,binary;,0.8,0.005,1000,2048,0.8,gbdt
0.537,binary;,0.5,0.005,500,2048,1.0,gbdt
0.537,binary;,1.0,0.005,500,2048,1.0,gbdt
0.537,binary;,1.0,0.005,1000,1024,0.5,gbdt
0.537,binary;,0.8,0.005,1000,1024,0.5,gbdt
0.537,binary;,0.5,0.005,1000,1024,0.5,gbdt
0.538,binary;,0.5,0.005,1000,2048,0.5,gbdt
0.538,binary;,0.8,0.005,1000,2048,0.5,gbdt
0.538,binary;,1.0,0.005,1000,2048,0.5,gbdt
0.541,binary;,0.8,0.005,1000,512,1.0,gbdt
0.541,binary;,0.5,0.005,1000,512,1.0,gbdt
0.541,binary;,1.0,0.005,1000,512,1.0,gbdt
0.542,binary;,0.8,0.005,500,512,0.8,gbdt
0.542,binary;,1.0,0.005,500,512,0.8,gbdt
0.542,binary;,0.5,0.005,500,512,0.8,gbdt
0.543,binary;,0.8,0.005,1000,2048,1.0,gbdt
0.543,binary;,0.5,0.005,1000,2048,1.0,gbdt
0.543,binary;,1.0,0.005,1000,2048,1.0,gbdt
0.543,binary;,0.8,0.005,1000,1024,1.0,gbdt
0.543,binary;,0.5,0.005,1000,1024,1.0,gbdt
0.543,binary;,1.0,0.005,1000,1024,1.0,gbdt
0.544,binary;,0.8,0.005,500,512,1.0,gbdt
0.544,binary;,0.5,0.005,500,512,1.0,gbdt
0.544,binary;,1.0,0.005,500,512,1.0,gbdt
0.548,binary;,0.8,0.005,1000,512,0.8,gbdt
0.548,binary;,1.0,0.005,1000,512,0.8,gbdt
0.548,binary;,0.5,0.005,1000,512,0.8,gbdt
0.548,binary;,0.5,0.05,500,512,0.8,gbdt
0.548,binary;,1.0,0.05,500,512,0.8,gbdt
0.548,binary;,0.8,0.05,500,512,1.0,gbdt
0.548,binary;,0.5,0.05,500,512,1.0,gbdt
0.548,binary;,1.0,0.05,500,512,1.0,gbdt
0.548,binary;,0.8,0.05,500,512,0.8,gbdt
0.549,binary;,0.8,0.05,500,2048,1.0,gbdt
0.549,binary;,0.5,0.05,500,2048,1.0,gbdt
0.549,binary;,0.5,0.05,1000,2048,1.0,gbdt
0.549,binary;,0.8,0.05,1000,2048,1.0,gbdt
0.549,binary;,0.8,0.05,500,2048,0.8,gbdt
0.549,binary;,1.0,0.05,500,2048,1.0,gbdt
0.549,binary;,1.0,0.05,500,512,0.5,gbdt
0.549,binary;,0.5,0.05,500,512,0.5,gbdt
0.549,binary;,0.8,0.05,500,512,0.5,gbdt
0.549,binary;,1.0,0.05,500,2048,0.8,gbdt
0.549,binary;,0.5,0.05,500,2048,0.8,gbdt
0.550,binary;,0.8,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.05,1000,2048,0.8,gbdt
0.550,binary;,1.0,0.05,500,1024,1.0,gbdt
0.550,binary;,1.0,0.05,1000,2048,0.8,gbdt
0.550,binary;,0.8,0.05,1000,2048,0.8,gbdt
0.550,binary;,0.8,0.005,500,1024,0.8,gbdt
0.550,binary;,1.0,0.005,500,1024,0.8,gbdt
0.550,binary;,0.5,0.005,500,1024,0.8,gbdt
0.550,binary;,0.8,0.005,500,2048,0.8,gbdt
0.550,binary;,1.0,0.005,500,2048,0.8,gbdt
0.550,binary;,1.0,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.05,500,1024,0.8,gbdt
0.550,binary;,0.5,0.005,500,2048,0.8,gbdt
0.550,binary;,0.8,0.05,500,1024,1.0,gbdt
0.550,binary;,0.5,0.05,500,1024,1.0,gbdt
0.551,binary;,0.8,0.005,500,1024,1.0,gbdt
0.551,binary;,0.8,0.005,500,512,0.8,gbdt
0.551,binary;,0.5,0.005,500,512,0.8,gbdt
0.551,binary;,1.0,0.005,500,512,0.8,gbdt
0.551,binary;,0.5,0.005,500,1024,1.0,gbdt
0.551,binary;,1.0,0.005,500,1024,1.0,gbdt
0.551,binary;,1.0,0.05,500,2048,0.5,gbdt
0.551,binary;,0.5,0.05,500,2048,0.5,gbdt
0.551,binary;,0.8,0.05,500,2048,0.5,gbdt
0.551,binary;,0.8,0.05,1000,2048,0.5,gbdt
0.551,binary;,1.0,0.05,1000,2048,0.5,gbdt
0.551,binary;,0.5,0.05,1000,2048,0.5,gbdt
0.552,binary;,0.8,0.05,1000,512,1.0,gbdt
0.552,binary;,0.5,0.05,1000,512,1.0,gbdt
0.552,binary;,0.5,0.05,1000,1024,0.8,gbdt
0.552,binary;,1.0,0.05,1000,1024,0.8,gbdt
0.552,binary;,0.5,0.05,1000,1024,1.0,gbdt
0.552,binary;,0.8,0.05,1000,1024,1.0,gbdt
0.552,binary;,1.0,0.05,1000,1024,1.0,gbdt
0.552,binary;,0.8,0.05,1000,1024,0.8,gbdt
0.552,binary;,1.0,0.05,1000,512,1.0,gbdt
0.552,binary;,0.8,0.05,500,1024,0.5,gbdt
0.552,binary;,1.0,0.05,500,1024,0.5,gbdt
0.552,binary;,0.5,0.05,500,1024,0.5,gbdt
0.552,binary;,1.0,0.05,1000,512,0.5,gbdt
0.552,binary;,0.5,0.05,1000,512,0.5,gbdt
0.552,binary;,0.8,0.05,1000,512,0.5,gbdt
0.552,binary;,0.5,0.005,1000,1024,0.8,gbdt
0.552,binary;,1.0,0.005,1000,1024,0.8,gbdt
0.552,binary;,0.8,0.005,1000,1024,0.8,gbdt
0.553,binary;,1.0,0.05,1000,512,0.8,gbdt
0.553,binary;,1.0,0.005,1000,2048,0.8,gbdt
0.553,binary;,0.5,0.005,1000,2048,0.8,gbdt
0.553,binary;,0.8,0.005,1000,2048,0.8,gbdt
0.553,binary;,0.8,0.05,1000,512,0.8,gbdt
0.553,binary;,1.0,0.05,1000,1024,0.5,gbdt
0.553,binary;,0.8,0.05,1000,1024,0.5,gbdt
0.553,binary;,0.5,0.05,1000,1024,0.5,gbdt
0.553,binary;,0.5,0.05,1000,512,0.8,gbdt
0.555,binary;,0.8,0.005,500,2048,1.0,gbdt
0.555,binary;,0.8,0.005,1000,512,0.5,gbdt
0.555,binary;,1.0,0.005,1000,512,0.5,gbdt
0.555,binary;,0.5,0.005,1000,512,0.5,gbdt
0.555,binary;,0.5,0.005,500,2048,1.0,gbdt
0.555,binary;,1.0,0.005,500,2048,1.0,gbdt
0.557,binary;,0.8,0.005,500,512,0.5,gbdt
0.557,binary;,0.8,0.005,1000,512,1.0,gbdt
0.557,binary;,1.0,0.005,500,512,0.5,gbdt
0.557,binary;,1.0,0.005,500,512,0.5,gbdt
0.557,binary;,0.8,0.005,500,512,0.5,gbdt
0.557,binary;,0.5,0.005,500,512,0.5,gbdt
0.557,binary;,0.5,0.005,500,512,0.5,gbdt
0.557,binary;,0.5,0.005,1000,512,1.0,gbdt
0.557,binary;,1.0,0.005,1000,512,1.0,gbdt
0.558,binary;,1.0,0.05,1000,1024,1.0,gbdt
0.558,binary;,0.8,0.05,500,512,1.0,gbdt
0.558,binary;,0.5,0.05,500,512,1.0,gbdt
0.558,binary;,0.8,0.05,500,1024,1.0,gbdt
0.558,binary;,0.5,0.05,500,1024,1.0,gbdt
0.558,binary;,0.8,0.05,1000,1024,1.0,gbdt
0.558,binary;,0.5,0.05,1000,1024,1.0,gbdt
0.558,binary;,1.0,0.05,500,512,1.0,gbdt
0.558,binary;,1.0,0.05,500,1024,1.0,gbdt
0.559,binary;,0.8,0.05,1000,512,1.0,gbdt
0.559,binary;,0.5,0.05,1000,512,1.0,gbdt
0.559,binary;,0.5,0.05,500,2048,0.8,gbdt
0.559,binary;,1.0,0.05,500,2048,0.8,gbdt
0.559,binary;,0.8,0.05,500,2048,1.0,gbdt
0.559,binary;,0.5,0.05,500,2048,1.0,gbdt
0.559,binary;,0.8,0.05,500,2048,0.8,gbdt
0.559,binary;,1.0,0.05,500,2048,1.0,gbdt
0.559,binary;,1.0,0.05,1000,512,1.0,gbdt
0.560,binary;,1.0,0.05,1000,2048,1.0,gbdt
0.560,binary;,0.8,0.05,1000,2048,0.8,gbdt
0.560,binary;,0.5,0.05,500,1024,0.8,gbdt
0.560,binary;,1.0,0.05,500,1024,0.8,gbdt
0.560,binary;,0.5,0.05,1000,1024,0.8,gbdt
0.560,binary;,1.0,0.05,1000,1024,0.8,gbdt
0.560,binary;,0.5,0.05,1000,2048,0.8,gbdt
0.560,binary;,1.0,0.005,500,1024,0.8,gbdt
0.560,binary;,0.8,0.005,500,1024,0.8,gbdt
0.560,binary;,0.5,0.005,500,1024,0.8,gbdt
0.560,binary;,1.0,0.05,1000,2048,0.8,gbdt
0.560,binary;,0.5,0.05,1000,2048,1.0,gbdt
0.560,binary;,0.8,0.05,500,1024,0.8,gbdt
0.560,binary;,0.8,0.05,1000,1024,0.8,gbdt
0.560,binary;,0.8,0.05,1000,2048,1.0,gbdt
0.561,binary;,0.5,0.05,500,512,0.8,gbdt
0.561,binary;,1.0,0.05,500,512,0.8,gbdt
0.561,binary;,0.5,0.05,1000,512,0.8,gbdt
0.561,binary;,1.0,0.05,1000,512,0.8,gbdt
0.561,binary;,0.8,0.05,500,512,0.8,gbdt
0.561,binary;,0.8,0.05,1000,512,0.8,gbdt
0.562,binary;,0.5,0.05,500,512,0.5,gbdt
0.562,binary;,0.8,0.05,500,512,0.5,gbdt
0.562,binary;,1.0,0.05,500,512,0.5,gbdt
0.562,binary;,1.0,0.05,500,1024,0.5,gbdt
0.562,binary;,0.5,0.05,500,1024,0.5,gbdt
0.562,binary;,0.8,0.05,500,1024,0.5,gbdt
0.563,binary;,0.8,0.05,1000,512,0.5,gbdt
0.563,binary;,1.0,0.05,1000,512,0.5,gbdt
0.563,binary;,0.5,0.05,1000,512,0.5,gbdt
0.563,binary;,0.8,0.05,1000,1024,0.5,gbdt
0.563,binary;,1.0,0.05,1000,1024,0.5,gbdt
0.563,binary;,0.5,0.05,1000,1024,0.5,gbdt
0.564,binary;,0.8,0.005,1000,512,0.8,gbdt
0.564,binary;,0.5,0.005,1000,512,0.8,gbdt
0.564,binary;,1.0,0.005,1000,512,0.8,gbdt
0.565,binary;,0.8,0.05,500,2048,0.5,gbdt
0.565,binary;,1.0,0.05,500,2048,0.5,gbdt
0.565,binary;,0.5,0.05,500,2048,0.5,gbdt
0.566,binary;,0.5,0.005,1000,1024,1.0,gbdt
0.566,binary;,1.0,0.005,1000,1024,1.0,gbdt
0.566,binary;,0.8,0.005,1000,2048,1.0,gbdt
0.566,binary;,0.5,0.005,1000,2048,1.0,gbdt
0.566,binary;,0.8,0.005,1000,1024,1.0,gbdt
0.566,binary;,1.0,0.005,1000,2048,1.0,gbdt
0.566,binary;,0.5,0.05,1000,2048,0.5,gbdt
0.566,binary;,1.0,0.05,1000,2048,0.5,gbdt
0.566,binary;,0.8,0.005,500,1024,0.5,gbdt
0.566,binary;,1.0,0.005,500,1024,0.5,gbdt
0.566,binary;,0.5,0.005,500,1024,0.5,gbdt
0.566,binary;,0.8,0.05,1000,2048,0.5,gbdt
0.566,binary;,1.0,0.005,1000,1024,0.5,gbdt
0.566,binary;,0.8,0.005,1000,1024,0.5,gbdt
0.566,binary;,0.5,0.005,1000,1024,0.5,gbdt
0.567,binary;,0.8,0.005,500,2048,0.8,gbdt
0.567,binary;,1.0,0.005,500,2048,0.8,gbdt
0.567,binary;,0.5,0.005,500,2048,0.8,gbdt
0.568,binary;,1.0,0.005,1000,2048,0.5,gbdt
0.568,binary;,0.8,0.005,500,1024,0.5,gbdt
0.568,binary;,1.0,0.005,500,1024,0.5,gbdt
0.568,binary;,1.0,0.005,500,2048,0.5,gbdt
0.568,binary;,0.8,0.005,500,2048,0.5,gbdt
0.568,binary;,0.5,0.005,500,2048,0.5,gbdt
0.568,binary;,0.5,0.005,500,1024,0.5,gbdt
0.568,binary;,0.8,0.005,1000,2048,0.5,gbdt
0.568,binary;,0.5,0.005,1000,2048,0.5,gbdt
0.569,binary;,1.0,0.005,1000,512,0.5,gbdt
0.569,binary;,0.5,0.005,1000,512,0.5,gbdt
0.569,binary;,0.8,0.005,1000,512,0.5,gbdt
0.572,binary;,1.0,0.005,1000,1024,0.8,gbdt
0.572,binary;,0.8,0.005,1000,1024,0.8,gbdt
0.572,binary;,0.5,0.005,1000,1024,0.8,gbdt
0.575,binary;,1.0,0.005,1000,2048,0.8,gbdt
0.575,binary;,0.5,0.005,1000,2048,0.8,gbdt
0.575,binary;,0.8,0.005,1000,2048,0.8,gbdt
0.575,binary;,0.8,0.005,500,2048,0.5,gbdt
0.575,binary;,1.0,0.005,500,2048,0.5,gbdt
0.575,binary;,0.5,0.005,500,2048,0.5,gbdt
0.579,binary;,1.0,0.005,1000,1024,0.5,gbdt
0.579,binary;,0.8,0.005,1000,1024,0.5,gbdt
0.579,binary;,0.5,0.005,1000,1024,0.5,gbdt
0.583,binary;,1.0,0.005,1000,2048,0.5,gbdt
0.583,binary;,0.8,0.005,1000,2048,0.5,gbdt
0.583,binary;,0.5,0.005,1000,2048,0.5,gbdt
0.589,binary;,0.5,0.05,500,512,0.8,gbdt
0.589,binary;,1.0,0.05,500,512,0.8,gbdt
0.589,binary;,0.8,0.05,500,512,1.0,gbdt
0.589,binary;,0.5,0.05,500,512,1.0,gbdt
0.589,binary;,0.8,0.05,500,512,0.8,gbdt
0.589,binary;,1.0,0.05,500,512,1.0,gbdt
0.590,binary;,1.0,0.05,500,2048,1.0,gbdt
0.590,binary;,0.5,0.05,500,2048,1.0,gbdt
0.590,binary;,0.8,0.05,500,2048,1.0,gbdt
0.591,binary;,0.8,0.05,500,2048,0.8,gbdt
0.591,binary;,0.5,0.05,500,2048,0.8,gbdt
0.591,binary;,1.0,0.05,500,2048,0.8,gbdt
0.592,binary;,0.5,0.05,1000,2048,1.0,gbdt
0.592,binary;,0.8,0.05,1000,2048,1.0,gbdt
0.592,binary;,1.0,0.05,500,512,0.5,gbdt
0.592,binary;,0.5,0.05,500,512,0.5,gbdt
0.592,binary;,0.8,0.05,500,512,0.5,gbdt
0.593,binary;,1.0,0.05,500,1024,1.0,gbdt
0.593,binary;,0.5,0.05,500,1024,1.0,gbdt
0.593,binary;,0.8,0.05,500,1024,1.0,gbdt
0.594,binary;,0.8,0.05,500,1024,0.8,gbdt
0.594,binary;,0.8,0.05,1000,512,0.8,gbdt
0.594,binary;,0.8,0.05,1000,2048,0.8,gbdt
0.594,binary;,0.5,0.05,500,1024,0.8,gbdt
0.594,binary;,1.0,0.05,500,1024,0.8,gbdt
0.594,binary;,0.5,0.05,1000,512,0.8,gbdt
0.594,binary;,1.0,0.05,1000,512,0.8,gbdt
0.594,binary;,0.5,0.05,1000,2048,0.8,gbdt
0.594,binary;,1.0,0.05,1000,2048,0.8,gbdt
0.595,binary;,0.8,0.05,1000,1024,1.0,gbdt
0.595,binary;,1.0,0.05,1000,1024,1.0,gbdt
0.595,binary;,1.0,0.05,1000,512,1.0,gbdt
0.595,binary;,0.8,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.5,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.8,0.05,1000,512,1.0,gbdt
0.595,binary;,0.5,0.05,1000,512,1.0,gbdt
0.595,binary;,1.0,0.05,1000,1024,0.8,gbdt
0.595,binary;,0.5,0.05,1000,1024,1.0,gbdt
0.596,binary;,0.8,0.05,1000,512,0.5,gbdt
0.596,binary;,1.0,0.05,1000,512,0.5,gbdt
0.596,binary;,0.5,0.05,1000,512,0.5,gbdt
0.596,binary;,1.0,0.05,500,2048,0.5,gbdt
0.596,binary;,0.8,0.05,500,2048,0.5,gbdt
0.596,binary;,0.5,0.05,500,2048,0.5,gbdt
0.596,binary;,0.8,0.05,1000,2048,0.5,gbdt
0.596,binary;,1.0,0.05,1000,2048,0.5,gbdt
0.596,binary;,0.5,0.05,1000,2048,0.5,gbdt
0.597,binary;,0.8,0.05,1000,1024,0.5,gbdt
0.597,binary;,1.0,0.05,1000,1024,0.5,gbdt
0.597,binary;,0.5,0.05,1000,1024,0.5,gbdt
0.598,binary;,0.8,0.05,500,1024,0.5,gbdt
0.598,binary;,1.0,0.05,500,1024,0.5,gbdt
0.598,binary;,0.5,0.05,500,1024,0.5,gbdt
